KEY_CODE,predicted2021,predicted2022,predicted2023,predicted2024,effect_vector
1720201001,117,120,99,69,-29.89999999999996
1720201002,1,0,1,1,-0.2222222222222207
1720201004,16,18,15,12,-2.5999999999999885
1720201005,17,17,14,16,3.3000000000000065
1720201006,28,36,25,30,8.20000000000001
1720201007,89,105,88,84,-6.499999999999827
1720201008,54,58,57,55,-5.833333333333314
1720201009,32,28,30,29,-0.7999999999999908
1720201010,268,283,253,250,-17.299999999999777
1720201011,92,88,96,95,-3.6999999999998554
1720201012,257,254,245,235,-24.699999999999847
1720201013,103,109,100,106,5.272727272727115
1720201014,303,299,261,278,-18.09090909090943
1720201015,207,221,223,200,-21.29999999999974
1720201016,105,113,105,116,-1.0909090909091916
1720201017,55,58,55,49,-9.99999999999996
1720201018,100,98,76,76,-9.499999999999769
1720201019,2,0,3,3,-0.3571428571428569
1720201020,93,106,87,71,-9.39999999999983
1720201021,33,36,30,36,2.900000000000028
1720201022,42,44,35,38,1.9166666666666279
1720201023,327,315,269,255,-43.19999999999943
1720201024,68,71,66,57,-7.499999999999918
1720201025,28,33,26,21,-5.07692307692301
1720201026,30,34,34,29,-7.699999999999973
1720201027,38,46,41,38,-6.699999999999958
1720201028,358,383,379,306,-62.199999999999385
1720201029,0,0,0,0,-0.2666666666666675
1720201030,1,1,2,4,1.0666666666666704
1720201031,210,230,182,189,25.10000000000023
1720201032,114,124,113,108,0.10000000000011107
1720201033,247,294,235,244,1.8000000000003888
1720201034,191,209,203,215,10.100000000000088
1720201035,127,142,131,128,-11.09999999999996
1720201036,101,119,106,108,2.0000000000000697
1720201037,201,219,179,183,-6.099999999999695
1720201038,473,490,447,486,17.000000000001126
1720201039,148,154,149,163,1.9000000000002315
1720201040,399,401,379,397,17.700000000000266
1720201041,55,76,55,42,-14.399999999999945
1720201042,72,78,71,67,-10.46153846153833
1720201043,334,350,313,308,-21.599999999999852
1720202001,102,136,104,120,19.999999999999964
1720202002,39,48,36,42,0.8000000000000456
