,KEY_CODE,predicted_2021,predicted_2022,predicted_2023,predicted_2024
0,1720101004,1,0,0,0
1,1720101005,20,12,6,12
2,1720101006,18,7,13,9
3,1720101007,7,8,5,14
4,1720101008,47,31,16,40
5,1720101009,3,2,2,4
6,1720101010,11,7,6,11
7,1720101011,14,17,9,16
8,1720101012,3,4,3,2
9,1720101013,7,2,7,6
10,1720101014,8,7,3,7
11,1720101015,11,3,5,1
12,1720101016,3,4,2,1
13,1720101017,11,13,10,11
14,1720101018,59,41,39,48
15,1720101019,25,16,20,21
16,1720101020,380,356,339,344
17,1720101021,30,24,32,33
18,1720101022,9,5,4,3
19,1720101023,208,148,171,135
20,1720101024,273,232,242,246
21,1720101025,114,113,113,109
22,1720101026,204,173,191,196
23,1720101028,24,21,19,26
24,1720101029,5,3,2,1
25,1720101030,204,168,208,220
26,1720101031,250,232,224,217
27,1720101034,1,0,3,0
28,1720101036,33,17,22,24
29,1720101037,1,3,2,4
30,1720101038,0,0,0,0
31,1720101039,11,10,7,7
32,1720101042,39,27,31,28
33,1720101043,1,0,0,0
34,1720101044,0,2,1,1
35,1720101045,29,12,20,23
36,1720101046,1,1,1,1
37,1720101047,9,4,11,6
38,1720101054,11,12,9,14
39,1720101055,10,16,18,16
40,1720101056,0,0,0,0
41,1720101057,0,0,0,0
42,1720101058,3,3,4,5
43,1720101059,4,1,4,4
44,1720101060,4,1,4,4
45,1720101061,19,18,13,10
46,1720101062,9,11,7,12
47,1720101063,14,23,10,15
48,1720101064,8,2,0,4
49,1720101065,29,23,26,45
50,1720101066,10,8,7,9
51,1720101067,3,1,1,2
52,1720101068,14,10,8,14
53,1720101069,8,4,4,6
54,1720101071,3,1,4,1
55,1720101072,23,21,22,15
56,1720101073,10,8,11,11
57,1720101074,5,7,2,3
58,1720101075,12,12,10,6
59,1720101076,28,28,17,26
60,1720101077,5,3,1,2
61,1720101078,8,8,9,7
62,1720101079,1,0,0,0
63,1720101080,1,3,2,1
64,1720101081,24,11,15,10
65,1720101082,11,9,5,5
66,1720101083,13,4,6,9
67,1720101084,1,1,1,0
68,1720101085,1,0,0,3
69,1720101086,0,0,0,1
70,1720101087,6,6,6,5
71,1720101088,43,40,28,35
72,1720101089,5,10,4,1
73,1720101090,4,1,1,3
74,1720101091,14,5,3,13
75,1720101092,1,0,0,0
76,1720101093,2,2,1,2
77,1720101094,4,3,1,1
78,1720101095,3,1,1,2
79,1720101096,6,1,1,8
80,1720101097,0,1,2,2
81,1720101098,8,9,8,11
82,1720101099,3,0,0,1
83,1720101100,1,2,4,3
84,1720101101,2,1,2,1
85,1720101102,5,2,6,6
86,1720101105,36,24,20,27
87,1720101106,13,3,9,10
88,1720101107,19,12,19,26
89,1720101108,49,34,36,43
90,1720101109,121,73,69,93
91,1720101110,176,147,139,160
92,1720101111,334,266,291,302
93,1720101112,120,81,82,107
94,1720101113,123,82,83,119
95,1720101114,238,135,144,231
96,1720101115,48,45,48,49
97,1720101116,31,30,18,28
98,1720101117,13,15,11,14
99,1720101118,31,33,19,25
100,1720101119,14,11,6,9
101,1720101120,2,0,1,1
102,1720101121,71,44,57,64
103,1720101122,260,168,209,233
104,1720101123,246,187,195,218
105,1720101124,6,4,4,4
106,1720101125,0,0,0,1
107,1720101128,71,37,55,62
108,1720101129,146,88,109,133
109,1720101130,53,31,30,43
110,1720101131,92,71,66,91
111,1720101132,161,117,65,71
112,1720101133,11,10,8,5
113,1720101134,12,7,3,7
114,1720101135,27,18,15,12
115,1720101136,26,14,20,21
116,1720101137,6,6,4,6
117,1720101138,0,0,0,0
118,1720101139,6,4,1,2
119,1720101140,0,2,1,1
120,1720101141,6,9,6,6
121,1720101142,13,12,6,11
122,1720101143,12,9,7,5
123,1720101144,0,0,0,0
124,1720101145,72,58,64,70
125,1720101146,218,169,212,230
126,1720101147,405,344,312,395
127,1720101148,53,38,47,40
128,1720101149,533,419,370,493
129,1720101150,584,491,519,553
130,1720101151,620,547,528,589
131,1720102001,48,45,34,46
132,1720102002,75,41,54,54
133,1720102003,85,66,73,87
134,1720102004,315,212,249,309
135,1720102005,91,48,62,87
136,1720102006,55,52,35,45
137,1720103001,33,17,25,28
138,1720103002,20,20,18,26
139,1720103003,70,48,51,68
140,1720103004,15,11,8,15
141,1720103005,8,4,4,9
142,1720103006,17,16,11,12
143,1720103007,6,10,6,10
144,1720103008,3,5,4,5
145,1720103009,8,6,6,8
146,1720104001,3,4,5,4
147,1720104002,11,9,5,10
148,1720104003,6,4,3,5
149,1720104004,0,0,0,0
150,1720104005,12,6,4,9
151,1720104006,8,5,2,5
152,1720104007,12,6,8,3
153,1720105002,33,29,31,30
154,1720105003,50,39,40,44
