,KEY_CODE,predicted_2021,predicted_2022,predicted_2023,predicted_2024
0,0620101001,131,127,123,132
1,0620101002,100,109,94,109
2,0620101003,8,6,2,7
3,0620101004,2,0,1,0
4,0620101009,692,698,594,690
5,0620101011,22,14,6,9
6,0620101015,1,2,2,1
7,0620101019,5,2,5,4
8,0620101020,9,5,2,6
9,0620101021,104,97,58,91
10,0620101022,20,10,2,20
11,0620101023,0,0,0,0
12,0620101024,5,0,1,2
13,0620101025,81,81,66,80
14,0620101026,613,580,468,572
15,0620101027,322,300,199,262
16,0620102001,405,405,319,390
17,0620102002,31,26,22,23
18,0620103001,184,176,133,163
19,0620103002,159,142,108,146
20,0620104001,40,39,24,20
21,0620104002,17,8,1,8
22,0620104003,374,347,277,356
23,0620105001,25,11,1,17
24,0620105002,484,441,251,445
25,0620105003,134,121,97,109
26,0620105004,73,56,54,62
27,0620105005,339,313,276,325
28,0620106001,566,577,526,583
29,0620106002,204,179,124,158
30,0620106003,175,184,167,180
31,0620106004,449,426,340,423
32,0620107001,506,499,389,442
33,0620107002,140,134,111,125
34,0620107003,975,981,779,915
35,0620107004,196,199,185,194
36,0620107005,147,154,124,149
37,0620107006,298,313,286,297
38,0620107007,375,392,353,353
39,0620108001,282,278,270,284
40,0620108002,121,117,108,116
41,0620108003,211,213,187,211
42,0620108004,322,338,294,331
43,0620108005,136,140,127,122
44,0620109001,267,256,197,244
45,0620109002,112,109,90,112
46,0620109003,588,614,486,579
47,0620109004,157,152,127,151
48,0620109005,239,235,199,232
49,0620109006,218,223,176,231
50,0620109007,551,535,425,535
51,0620109008,187,178,151,194
52,0620110001,83,89,58,86
53,0620110002,216,219,199,227
54,0620110003,94,77,51,83
55,0620110004,401,385,313,366
56,0620110005,415,358,252,355
57,0620110006,365,369,314,375
58,0620110007,378,383,339,375
59,0620111001,261,217,187,260
60,0620111002,42,33,28,35
61,0620111003,36,25,20,20
62,0620111004,32,15,5,15
63,0620111005,154,146,107,144
64,0620111006,177,167,126,172
65,0620112001,167,151,97,145
66,0620112002,44,48,18,46
67,0620112003,115,69,45,69
68,0620112004,143,120,80,105
69,0620112005,138,111,93,107
70,0620112006,199,174,125,186
71,0620112007,53,66,46,61
72,0620112008,45,33,17,33
73,0620112009,36,40,29,31
74,0620112010,136,152,83,146
75,0620112011,56,62,33,64
76,0620112012,31,29,22,34
77,0620112013,29,9,9,13
78,0620112014,74,59,37,65
79,0620113001,7,3,4,4
80,0620113002,56,32,9,46
81,0620113003,59,34,23,31
82,0620113004,32,34,12,22
83,0620113005,39,29,18,26
84,0620113006,3,2,0,0
85,0620113007,77,64,21,48
86,0620113008,52,40,26,32
87,0620113009,38,25,18,32
88,0620113010,14,15,7,14
89,0620113011,6,5,2,3
90,0620113012,7,7,6,6
91,0620113013,4,2,3,4
92,0620113014,2,0,1,3
93,0620114002,32,29,11,30
94,0620114003,51,39,21,33
95,0620114004,485,408,220,423
96,0620114005,209,179,103,191
97,0620114006,150,128,70,109
98,0620114007,71,58,41,56
99,0620114008,108,86,48,67
100,0620115001,54,49,43,53
101,0620115002,35,27,21,32
102,0620115003,96,85,58,70
103,0620115004,2,2,1,2
104,0620115005,44,48,40,47
105,0620115006,11,17,12,16
106,0620115007,59,49,42,60
107,0620115008,84,70,59,78
108,0620115009,84,72,64,79
109,0620115010,190,169,151,183
110,0620115011,18,11,3,12
111,0620115012,0,0,0,0
112,0620115013,128,113,69,122
113,0620115014,82,67,40,86
114,0620115015,20,24,13,28
115,0620115016,131,105,63,125
116,0620115017,0,0,0,0
117,0620115018,22,7,4,12
118,0620115019,22,10,4,10
119,0620115020,5,3,1,3
120,0620115021,0,0,0,0
121,0620116001,220,211,173,223
122,0620116002,149,122,90,126
123,0620116003,77,78,74,88
124,0620116004,78,76,71,79
125,0620116005,10,7,5,6
126,0620116006,35,33,9,34
127,0620116007,16,15,14,16
128,0620116009,31,34,29,33
129,0620116010,310,271,240,296
130,0620116011,242,227,195,250
131,0620116012,8,5,1,4
132,0620117001,47,26,22,28
133,0620117002,80,72,42,71
134,0620117003,10,15,4,12
135,0620117004,26,17,4,15
136,0620117005,10,6,9,9
137,0620117006,65,40,31,31
138,0620117007,3,5,4,2
139,0620118001,108,79,32,76
140,0620118002,320,274,179,291
141,0620118003,166,167,96,159
142,0620118004,121,126,101,131
143,0620118005,125,122,97,118
144,0620118006,78,68,59,57
145,0620118007,112,107,71,102
146,0620118008,135,122,108,120
147,0620119001,7,3,0,2
148,0620119002,27,18,13,20
149,0620119003,21,10,6,16
150,0620119004,1,0,0,1
151,0620119005,47,25,20,23
152,0620119006,9,5,6,4
153,0620119007,42,32,23,25
154,0620119008,18,17,16,14
155,0620201001,22,15,15,15
156,0620201002,16,12,11,13
157,0620201004,35,27,23,33
158,0620201005,29,24,15,28
159,0620201006,9,6,2,7
160,0620201007,22,17,14,17
161,0620201008,7,3,5,3
162,0620201009,6,2,5,1
163,0620201010,79,64,60,70
164,0620201011,194,156,141,164
165,0620201012,138,99,119,116
166,0620201013,40,18,21,32
167,0620201014,159,82,108,112
168,0620201015,82,37,42,63
169,0620201016,8,8,4,4
170,0620201017,57,31,26,33
171,0620202001,198,141,137,167
172,0620202002,273,217,237,260
173,0620202003,211,136,174,186
174,0620202004,25,20,21,22
175,0620203001,163,130,88,93
176,0620203002,211,180,183,191
177,0620203003,53,33,33,35
178,0620203004,39,14,14,14
179,0620203005,123,108,91,95
180,0620203006,276,177,216,242
181,0620203007,140,54,80,100
182,0620203008,39,24,28,33
183,0620203009,18,2,5,13
184,0620203010,219,178,193,203
185,0620204001,506,460,413,480
186,0620204002,512,427,415,449
187,0620204003,297,240,239,237
188,0620204004,130,47,93,101
189,0620204005,176,155,118,154
190,0620204006,77,83,74,84
191,0620204007,447,395,393,399
192,0620205001,269,260,245,256
193,0620205002,302,306,270,296
194,0620205003,261,264,247,269
195,0620205004,257,242,234,262
196,0620205005,275,265,242,251
197,0620205006,359,344,306,328
198,0620206001,213,205,184,198
199,0620206002,213,161,170,177
200,0620206003,75,63,70,73
201,0620206004,75,61,52,54
202,0620206005,241,211,204,229
203,0620206006,356,305,260,300
204,0620206007,97,84,78,88
205,0620207001,60,27,33,38
206,0620207002,105,49,91,98
207,0620207003,57,28,34,62
208,0620207004,74,38,53,51
209,0620207005,30,13,20,37
210,0620207006,222,108,171,200
211,0620207007,60,11,27,38
212,0620207008,2,0,0,1
213,0620207009,13,14,8,17
214,0620207010,94,43,69,90
